ID_Cliente,Idade,Genero,Estado,Plano,Tempo_Cliente_Meses,Mensalidade,Uso_Mensal_Horas,Quantidade_Chamados,Atrasos_Pagamento,Forma_Pagamento,Churn
1,58,Masculino,PE,Básico,4,73.0,9,3,1,Cartão de Crédito,Não
2,23,Feminino,PR,Básico,30,66.0,62,8,1,Débito Automático,Não
3,69,Feminino,RJ,Básico,21,72.0,16,4,1,Pix,Não
4,24,Feminino,RJ,Padrão,45,106.0,75,11,3,Débito Automático,Não
5,71,Feminino,RJ,Premium,47,250.0,114,1,0,Boleto,Não
6,73,Masculino,RS,Básico,49,58.0,94,5,1,Cartão de Crédito,Não
7,56,Masculino,BA,Premium,22,191.0,112,2,3,Cartão de Crédito,Não
8,32,Feminino,PR,Básico,41,62.0,88,3,4,Pix,Não
9,43,Feminino,PE,Premium,59,177.0,119,3,5,Pix,Não
10,41,Masculino,MG,Básico,18,66.0,106,12,0,Pix,Não
11,56,Masculino,RJ,Básico,50,62.0,92,8,2,Débito Automático,Não
12,67,Feminino,MG,Premium,44,215.0,69,2,3,Cartão de Crédito,Sim
13,73,Masculino,SP,Premium,39,224.0,81,9,1,Débito Automático,Sim
14,49,Masculino,RJ,Básico,15,79.0,98,3,0,Pix,Não
15,70,Masculino,RS,Básico,69,74.0,72,10,3,Pix,Não
16,31,Feminino,RJ,Premium,26,211.0,36,10,5,Boleto,Sim
17,22,Masculino,PR,Padrão,3,125.0,13,9,1,Cartão de Crédito,Sim
18,73,Masculino,CE,Padrão,10,105.0,36,10,3,Pix,Sim
19,69,Feminino,SP,Padrão,25,96.0,91,6,2,Cartão de Crédito,Não
20,21,Masculino,PE,Padrão,44,96.0,28,3,1,Débito Automático,Não
21,47,Masculino,RJ,Básico,10,64.0,101,0,5,Boleto,Não
22,28,Feminino,RS,Padrão,63,103.0,105,0,1,Pix,Não
23,36,Masculino,SP,Padrão,72,135.0,100,2,1,Débito Automático,Não
24,21,Masculino,RJ,Básico,62,,81,0,4,Cartão de Crédito,Sim
25,61,Masculino,PE,Básico,52,53.0,89,9,4,Débito Automático,Sim
26,34,Feminino,BA,Básico,41,57.0,101,2,5,Cartão de Crédito,Não
27,18,Feminino,RJ,Padrão,13,124.0,117,8,2,Boleto,Sim
28,41,Masculino,RS,Padrão,21,124.0,89,4,4,Cartão de Crédito,Não
29,74,Masculino,BA,Básico,34,53.0,31,2,2,Débito Automático,Não
30,50,Masculino,SP,Padrão,33,93.0,47,10,3,Boleto,Não
31,58,Masculino,RJ,Padrão,21,118.0,118,11,3,Boleto,Não
32,52,Feminino,SP,Básico,48,68.0,120,6,1,Débito Automático,Sim
33,31,Feminino,MG,Premium,32,205.0,35,12,4,Boleto,Não
34,69,Masculino,RS,Básico,53,50.0,25,12,3,Cartão de Crédito,Não
35,42,Masculino,PR,Básico,61,57.0,8,5,2,Boleto,Não
36,43,Feminino,SP,Padrão,36,94.0,19,5,5,Débito Automático,Não
37,29,,PE,Premium,34,236.0,82,6,2,Cartão de Crédito,Não
38,42,Masculino,BA,Premium,25,250.0,60,6,0,Cartão de Crédito,Não
39,60,Feminino,PE,Padrão,41,97.0,94,8,2,Débito Automático,Não
40,53,Feminino,PE,Básico,25,63.0,75,10,5,Cartão de Crédito,Não
41,37,Feminino,CE,Padrão,27,140.0,91,9,5,Boleto,Sim
42,50,Feminino,RJ,Padrão,22,95.0,109,8,5,Boleto,Não
43,61,Feminino,RJ,Padrão,29,102.0,63,0,0,Pix,Não
44,74,Masculino,RJ,Premium,25,209.0,104,7,3,Pix,Não
45,32,Masculino,CE,Básico,67,64.0,90,3,6,Débito Automático,Sim
46,66,Feminino,RS,Padrão,65,125.0,101,2,5,Boleto,Não
47,71,Feminino,RJ,Premium,36,226.0,96,7,5,Débito Automático,Sim
48,33,Masculino,PR,Padrão,43,124.0,13,2,1,Pix,Não
49,44,Masculino,PE,,70,116.0,66,3,6,Cartão de Crédito,Não
50,40,Masculino,CE,Padrão,50,116.0,33,11,5,Débito Automático,Não
51,45,Masculino,CE,Padrão,4,111.0,21,10,6,Cartão de Crédito,Sim
52,43,Masculino,RS,Premium,4,214.0,53,2,6,Débito Automático,Não
53,31,Feminino,RS,Padrão,42,138.0,111,4,6,Cartão de Crédito,Não
54,48,Masculino,SP,Básico,70,51.0,36,10,0,Boleto,Não
55,71,Masculino,CE,Básico,20,57.0,94,10,0,Débito Automático,Não
56,67,Feminino,RJ,Padrão,22,128.0,79,12,6,Cartão de Crédito,Sim
57,37,Masculino,RJ,Premium,49,185.0,94,1,4,Débito Automático,Não
58,72,Feminino,RJ,Premium,16,165.0,69,5,4,Débito Automático,Não
59,18,Masculino,PE,Padrão,63,117.0,27,10,6,Débito Automático,Não
60,57,Masculino,RS,Premium,62,235.0,117,4,2,Pix,Não
61,33,Feminino,RS,,49,91.0,48,5,1,,Não
62,74,Feminino,CE,Premium,36,226.0,76,3,0,Boleto,Não
63,62,Masculino,RS,Padrão,63,140.0,89,1,2,Débito Automático,Não
64,48,Feminino,RS,Premium,68,230.0,37,5,2,Boleto,Não
65,25,Masculino,,Premium,25,228.0,40,12,5,Débito Automático,Sim
66,24,Masculino,RS,Básico,38,57.0,10,4,0,Cartão de Crédito,Não
67,53,Feminino,CE,Padrão,17,138.0,66,1,6,Pix,Sim
68,39,Masculino,MG,Básico,7,58.0,24,1,3,Débito Automático,Não
69,23,Masculino,PE,Básico,16,67.0,62,9,4,Pix,Não
70,37,Masculino,PR,Premium,55,239.0,85,0,4,Boleto,Não
71,34,Feminino,CE,Premium,11,182.0,93,8,0,Pix,Sim
72,36,Masculino,RS,Básico,30,59.0,105,11,6,Boleto,Sim
73,45,Masculino,MG,Básico,70,57.0,106,4,6,Débito Automático,Sim
74,56,Feminino,CE,Premium,37,219.0,61,11,2,Cartão de Crédito,Não
75,56,Masculino,RS,Básico,56,73.0,78,4,0,Cartão de Crédito,Sim
76,66,Feminino,CE,Básico,61,66.0,16,4,1,Pix,Não
77,40,Feminino,RS,Padrão,43,132.0,89,2,2,Pix,Não
78,70,Feminino,SP,Premium,5,200.0,89,4,2,Pix,Sim
79,44,Masculino,PR,Básico,25,66.0,39,12,3,Boleto,Não
80,36,Masculino,RS,Padrão,63,91.0,75,9,6,Cartão de Crédito,Sim
81,53,Feminino,RS,Padrão,12,97.0,70,1,5,Débito Automático,Não
82,44,Masculino,RJ,Padrão,61,119.0,40,2,3,Pix,Não
83,39,Feminino,MG,Premium,35,196.0,62,11,2,Pix,Não
84,40,Masculino,PE,Padrão,71,124.0,34,7,2,Pix,Não
85,20,Masculino,CE,Padrão,61,114.0,9,10,6,Boleto,Não
86,50,Masculino,MG,Premium,43,216.0,57,1,4,Boleto,Não
87,22,Feminino,PE,Padrão,34,129.0,45,6,5,Pix,Sim
88,73,Masculino,RJ,Premium,5,190.0,60,10,5,Cartão de Crédito,Não
89,66,Masculino,RS,Premium,13,248.0,50,4,0,Débito Automático,Sim
90,45,Masculino,RJ,Básico,32,66.0,83,10,6,Pix,Sim
91,57,Feminino,RS,Premium,31,178.0,90,3,3,Cartão de Crédito,Não
92,75,Feminino,PE,Padrão,37,124.0,93,1,3,Débito Automático,Não
93,47,Feminino,RS,Padrão,26,120.0,7,3,3,Pix,Não
94,35,Feminino,PR,Básico,7,79.0,86,4,6,Boleto,Não
95,57,Feminino,SP,Padrão,18,96.0,79,10,0,Débito Automático,Não
96,64,Masculino,BA,Básico,12,79.0,72,11,3,Débito Automático,Sim
97,71,Masculino,CE,Básico,33,79.0,14,11,6,Boleto,Sim
98,66,Feminino,RJ,Básico,51,80.0,63,1,6,Débito Automático,Não
99,61,Feminino,SP,Premium,34,241.0,84,5,0,Débito Automático,Não
100,57,Masculino,SP,Básico,9,70.0,9,4,5,Débito Automático,Sim
101,49,Feminino,MG,Básico,13,57.0,118,6,3,Pix,Não
102,59,Feminino,CE,Básico,63,69.0,35,0,5,Débito Automático,Não
103,24,Masculino,CE,Premium,48,205.0,16,0,3,Boleto,Não
104,59,Masculino,RJ,Premium,3,202.0,111,3,1,Boleto,Não
105,55,Masculino,MG,Básico,30,60.0,74,12,4,Débito Automático,Sim
106,69,Masculino,BA,Básico,15,71.0,7,0,2,Boleto,Não
107,34,Feminino,BA,Básico,17,73.0,70,1,5,Cartão de Crédito,Sim
108,46,Feminino,CE,Premium,29,165.0,87,11,6,Cartão de Crédito,Não
109,21,Masculino,RJ,Padrão,52,133.0,46,7,5,Boleto,Não
110,22,Feminino,CE,Básico,36,69.0,69,8,5,Pix,Sim
111,24,Masculino,PE,,15,243.0,62,12,4,Boleto,Não
112,44,Feminino,BA,Padrão,59,116.0,24,5,3,Pix,Não
113,22,Masculino,SP,Básico,11,52.0,80,11,5,Débito Automático,Sim
114,60,Feminino,,Básico,53,61.0,18,11,0,Boleto,Não
115,27,Feminino,PR,Premium,62,204.0,108,8,2,Pix,Sim
116,72,Feminino,RS,Premium,72,244.0,48,11,2,Débito Automático,Sim
117,18,Masculino,RJ,Básico,19,68.0,100,1,1,Boleto,Não
118,42,Masculino,SP,Padrão,59,100.0,24,4,5,Boleto,Não
119,66,Feminino,PE,Premium,7,194.0,39,7,5,Boleto,Não
120,66,Feminino,RS,Premium,15,174.0,10,4,5,Boleto,Não
121,43,Feminino,RS,Premium,8,198.0,46,3,6,Cartão de Crédito,Sim
122,18,Feminino,RJ,Padrão,56,98.0,55,8,5,Cartão de Crédito,Sim
123,45,Feminino,RS,Básico,59,79.0,19,9,3,Pix,Não
124,19,Masculino,PR,Padrão,22,129.0,60,11,2,Pix,Sim
125,51,Masculino,,Básico,51,77.0,72,3,2,Boleto,Não
126,75,Masculino,MG,Padrão,45,131.0,82,3,0,Boleto,Não
127,66,Feminino,BA,Premium,10,240.0,115,7,3,Débito Automático,Não
128,27,Masculino,BA,Padrão,9,118.0,69,4,6,Cartão de Crédito,Sim
129,37,Masculino,PE,Padrão,58,93.0,64,4,0,Cartão de Crédito,Não
130,46,Feminino,RJ,Premium,25,220.0,108,8,1,Débito Automático,Não
131,63,Feminino,MG,Básico,65,70.0,51,3,5,Débito Automático,Não
132,36,Feminino,RJ,Padrão,53,111.0,47,9,0,Cartão de Crédito,Não
133,53,Masculino,MG,Premium,50,244.0,49,9,6,Débito Automático,Sim
134,59,Feminino,MG,Premium,51,250.0,90,1,2,Cartão de Crédito,Não
135,59,Masculino,BA,Premium,55,162.0,103,5,2,Pix,Não
136,30,Masculino,BA,Básico,18,54.0,117,12,0,Boleto,Não
137,56,Masculino,CE,Padrão,20,101.0,10,12,4,Pix,Não
138,41,Masculino,PR,Premium,31,196.0,44,12,5,Pix,Não
139,75,Feminino,PE,Básico,48,71.0,25,7,6,Boleto,Sim
140,69,Masculino,RJ,Premium,18,166.0,41,10,3,Cartão de Crédito,Não
141,66,Masculino,CE,Básico,35,64.0,118,6,0,,Não
142,19,Feminino,PR,Padrão,7,122.0,8,3,3,Débito Automático,Não
143,24,,MG,Premium,43,177.0,102,0,2,Pix,Não
144,46,Feminino,RJ,Premium,1,162.0,104,4,1,Débito Automático,Não
145,33,Masculino,RJ,Padrão,16,105.0,112,10,6,Pix,Não
146,56,Feminino,SP,Premium,3,233.0,83,3,5,Débito Automático,Sim
147,33,Masculino,SP,Premium,54,245.0,54,1,4,Pix,Não
148,20,Masculino,RJ,Premium,50,162.0,103,5,6,Débito Automático,Sim
149,26,Feminino,CE,Básico,46,67.0,85,2,6,Boleto,Não
150,69,Masculino,SP,Básico,9,72.0,45,0,2,Débito Automático,Sim
151,50,Feminino,SP,Padrão,70,106.0,115,12,5,Débito Automático,Sim
